Location UID,dir,Count,Vehicle Type,Pole ID,Node ID,dates,times
hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,2:00
hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,2:00
hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,2:00
hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,2:00
sz02oh1pc8l7f44oql,W,0,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,3:00
sz02oh1pc8l7f44oql,E,1,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,3:00
sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,3:00
sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,3:00
sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,3:00
sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,3:00
zmtiez2quapl7f4qc8q,E,2,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,3:00
zmtiez2quapl7f4qc8q,W,3,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,3:00
zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,3:00
zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,3:00
zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,3:00
zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,3:00
hsq9n5wxk0ll7kno40l,W,5,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,3:00
